store_id,status,timestamp_utc
8.41954E+18,active,2023-01-22 12:09:39.388884 UTC
5.45155E+16,active,2023-01-24 09:06:42.605777 UTC
8.37747E+18,active,2023-01-24 09:07:26.441407 UTC
5.95534E+18,active,2023-01-24 09:08:07.634899 UTC
1.16935E+18,active,2023-01-24 09:08:18.436854 UTC
3.73973E+18,active,2023-01-24 09:08:23.138922 UTC
4.43037E+18,active,2023-01-24 09:09:37.456563 UTC
1.91256E+18,active,2023-01-24 09:09:58.684489 UTC
5.48955E+18,active,2023-01-24 09:10:28.873707 UTC
7.59602E+17,active,2023-01-19 06:07:21.331383 UTC
5.6279E+18,active,2023-01-24 14:01:52.138196 UTC
2.65169E+18,active,2023-01-25 13:04:00.152582 UTC
5.04305E+18,active,2023-01-21 16:00:49.46544 UTC
2.3673E+18,active,2023-01-21 16:01:36.311245 UTC
6.6139E+18,active,2023-01-21 16:02:05.815869 UTC
1.39665E+18,active,2023-01-21 16:02:13.198837 UTC
8.377E+17,active,2023-01-20 17:04:14.098493 UTC
2.05796E+18,active,2023-01-21 17:15:29.921161 UTC
6.10857E+18,active,2023-01-21 17:15:36.013705 UTC
7.81559E+18,active,2023-01-21 17:15:39.285005 UTC
7.49393E+18,active,2023-01-21 17:15:43.777556 UTC
7.96104E+18,active,2023-01-24 05:58:13.493839 UTC
6.05803E+17,active,2023-01-24 05:58:22.253512 UTC
5.27838E+18,active,2023-01-24 05:58:35.019985 UTC
8.49475E+18,active,2023-01-24 05:59:35.717711 UTC
4.85883E+18,active,2023-01-24 06:00:06.282107 UTC
7.55575E+18,active,2023-01-24 06:00:09.856329 UTC
8.62502E+18,active,2023-01-24 06:01:30.549983 UTC
4.15915E+18,active,2023-01-24 06:01:48.829267 UTC
8.15736E+18,active,2023-01-24 06:02:06.671383 UTC
3.59515E+18,active,2023-01-24 08:08:22.366068 UTC
5.69393E+18,active,2023-01-24 08:09:45.795033 UTC
8.6315E+18,active,2023-01-24 08:10:02.700743 UTC
7.36922E+18,active,2023-01-24 08:10:33.505185 UTC
5.73339E+18,active,2023-01-24 09:00:46.942944 UTC
4.68174E+18,active,2023-01-24 09:01:32.991896 UTC
2.56773E+18,active,2023-01-24 09:01:33.08028 UTC
2.84239E+17,active,2023-01-24 09:01:46.901535 UTC
6.65646E+18,active,2023-01-25 17:01:33.08729 UTC
9.18411E+18,active,2023-01-25 17:01:47.001499 UTC
6.03157E+18,active,2023-01-25 17:03:15.216687 UTC
9.11181E+18,active,2023-01-25 17:04:28.386537 UTC
8.75049E+18,active,2023-01-25 17:13:14.314139 UTC
3.04841E+18,active,2023-01-25 17:14:39.546335 UTC
3.98379E+18,active,2023-01-22 13:01:57.541752 UTC
5.04715E+18,active,2023-01-22 13:02:23.32053 UTC
7.93395E+18,active,2023-01-24 17:02:46.924337 UTC
3.79226E+17,active,2023-01-24 17:03:38.648073 UTC
1.25336E+18,active,2023-01-24 17:03:39.528946 UTC
4.75593E+18,active,2023-01-24 13:04:52.996699 UTC
8.80389E+18,active,2023-01-24 13:06:07.451867 UTC
6.83603E+18,active,2023-01-25 07:12:14.807753 UTC
2.63975E+18,active,2023-01-25 08:01:11.304168 UTC
1.04073E+18,active,2023-01-25 08:01:25.493818 UTC
8.30491E+18,active,2023-01-25 08:03:35.488792 UTC
