store_id,day,start_time_local,end_time_local
1.48E+18,4,00:00:00,00:10:00
1.48E+18,2,00:00:00,00:10:00
1.48E+18,0,00:00:00,00:10:00
1.48E+18,1,00:00:00,00:10:00
1.48E+18,5,00:00:00,00:10:00
1.48E+18,3,00:00:00,00:10:00
1.48E+18,6,00:00:00,00:10:00
5.79E+17,5,00:00:00,00:10:00
5.79E+17,1,00:00:00,00:10:00
5.79E+17,3,00:00:00,00:10:00
